date	high	low
20111113	56.8	52.2
20111114	57.6	49.8
20111115	59.7	48.9
20111116	58.1	49.5
20111117	56.3	48.7
20111118	55.6	50.9
20111119	52.7	44.8
20111120	53.6	47.1
20111121	54.0	49.1
20111122	58.8	48.4
20111123	59.5	51.4
20111124	58.6	52.5
20111125	54.7	48.6
20111126	56.3	50.4
20111127	56.1	50.4
20111128	55.8	47.5
20111129	54.7	45.9
20111130	62.2	46.0
20111201	64.0	58.1
20111202	65.5	59.0
20111203	66.6	54.0
20111204	59.9	46.9
20111205	56.5	45.9
20111206	57.9	45.9
20111207	54.5	44.8
20111208	52.5	42.1
20111209	56.5	47.1
20111210	56.8	48.0
20111211	53.1	45.7
20111212	50.9	45.3
20111213	52.0	44.2
20111214	50.7	43.3
20111215	51.6	46.6
20111216	56.3	43.2
20111217	54.3	46.0
20111218	55.9	46.6
20111219	52.3	44.8
20111220	56.1	43.2
20111221	56.8	43.5
20111222	57.4	48.4
20111223	58.3	42.8
20111224	53.2	44.1
20111225	54.0	45.3
20111226	52.5	43.5
20111227	52.2	43.3
20111228	54.7	45.5
20111229	54.5	48.2
20111230	54.7	51.8
20111231	55.0	46.2
20120101	57.2	51.3
20120102	55.9	49.6
20120103	54.1	46.2
20120104	59.7	49.5
20120105	58.8	47.1
20120106	56.3	45.5
20120107	64.8	45.3
20120108	64.9	51.6
20120109	61.2	47.8
20120110	58.3	47.1
20120111	58.8	44.6
20120112	57.2	46.4
20120113	59.4	47.5
20120114	59.9	47.5
20120115	55.8	48.0
20120116	48.9	42.1
20120117	48.6	38.5
20120118	52.2	40.5
20120119	51.4	45.1
20120120	57.6	49.3
20120121	57.9	49.1
20120122	51.4	46.2
20120123	55.2	50.7
20120124	53.6	45.7
20120125	57.0	49.8
20120126	57.6	52.0
20120127	57.9	45.7
20120128	57.9	45.9
20120129	59.4	50.2
20120130	57.0	48.4
20120131	52.3	48.0
20120201	54.9	46.2
20120202	58.8	46.2
20120203	58.8	46.8
20120204	58.3	48.9
20120205	60.1	49.5
20120206	59.5	50.0
20120207	57.9	51.6
20120208	57.4	48.2
20120209	59.0	50.5
20120210	64.4	48.9
20120211	55.9	50.5
20120212	52.9	46.0
20120213	52.9	46.4
20120214	53.4	43.9
20120215	55.2	43.9
20120216	57.4	48.0
20120217	53.6	46.4
20120218	54.5	50.2
20120219	52.9	43.0
20120220	52.9	46.6
20120221	54.9	47.5
20120222	62.2	49.3
20120223	61.3	49.5
20120224	61.3	51.4
20120225	54.0	49.5
20120226	53.1	41.0
20120227	49.3	40.3
20120228	50.5	41.4
20120229	52.2	48.0
20120301	50.7	47.3
20120302	55.2	43.5
20120303	62.4	45.3
20120304	62.8	50.0
20120305	60.1	44.2
20120306	51.3	46.2
20120307	54.0	46.6
20120308	61.7	44.2
20120309	62.8	45.0
20120310	54.9	46.8
20120311	54.1	48.6
20120312	55.0	44.2
20120313	55.6	52.5
20120314	56.7	54.1
20120315	56.8	54.9
20120316	55.9	53.8
20120317	54.3	43.5
20120318	50.4	44.8
20120319	49.8	42.3
20120320	52.7	48.4
20120321	57.2	48.6
20120322	53.6	49.1
20120323	53.2	43.9
20120324	53.8	43.0
20120325	51.1	44.6
20120326	55.2	43.9
20120327	58.3	52.2
20120328	55.9	52.7
20120329	54.9	50.0
20120330	58.5	52.3
20120331	59.4	48.4
20120401	55.9	48.7
20120402	54.9	46.6
20120403	57.0	49.8
20120404	54.9	45.7
20120405	51.8	43.2
20120406	51.3	42.4
20120407	56.7	45.1
20120408	57.2	44.2
20120409	59.7	47.1
20120410	59.7	52.2
20120411	57.0	50.4
20120412	56.7	49.3
20120413	55.9	46.6
20120414	55.0	47.7
20120415	54.5	49.6
20120416	54.3	49.3
20120417	55.0	51.8
20120418	56.1	50.7
20120419	59.0	53.2
20120420	61.3	52.0
20120421	64.9	54.0
20120422	58.8	49.8
20120423	59.9	52.7
20120424	60.8	56.1
20120425	59.7	56.3
20120426	58.8	52.2
20120427	58.3	47.8
20120428	58.6	51.1
20120429	57.4	50.5
20120430	57.2	50.2
20120501	57.4	48.9
20120502	54.5	47.3
20120503	59.4	49.8
20120504	58.5	50.0
20120505	58.6	48.2
20120506	70.0	50.7
20120507	63.1	49.6
20120508	61.0	48.9
20120509	56.1	50.2
20120510	60.8	48.0
20120511	57.2	49.8
20120512	53.4	47.7
20120513	57.2	49.5
20120514	59.0	53.8
20120515	58.1	49.5
20120516	54.3	49.8
20120517	55.2	49.6
20120518	56.8	48.4
20120519	56.8	48.7
20120520	58.1	51.1
20120521	57.6	50.0
20120522	57.9	51.6
20120523	58.8	53.2
20120524	57.4	50.0
20120525	56.3	49.5
20120526	54.9	48.7
20120527	54.9	50.7
20120528	55.4	50.4
20120529	56.1	49.8
20120530	55.8	49.8
20120531	57.2	51.1
20120601	59.0	51.3
20120602	57.4	51.4
20120603	56.5	49.6
20120604	57.6	54.0
20120605	57.0	50.9
20120606	57.4	49.3
20120607	58.3	49.8
20120608	57.6	50.4
20120609	59.4	49.6
20120610	68.7	54.9
20120611	63.0	53.4
20120612	61.5	51.4
20120613	59.2	49.6
20120614	56.7	50.4
20120615	58.8	50.4
20120616	66.7	52.5
20120617	60.4	52.5
20120618	54.5	50.5
20120619	56.3	51.8
20120620	59.5	52.5
20120621	57.6	50.5
20120622	57.9	52.2
20120623	58.1	52.5
20120624	58.5	52.2
20120625	60.4	52.7
20120626	61.5	52.3
20120627	62.8	53.4
20120628	59.7	54.5
20120629	60.3	54.5
20120630	62.1	55.8
20120701	62.2	56.3
20120702	58.8	54.0
20120703	60.4	52.3
20120704	58.8	53.6
20120705	59.0	52.5
20120706	58.8	52.3
20120707	58.5	51.6
20120708	55.9	51.3
20120709	55.8	52.2
20120710	57.2	49.6
20120711	54.1	50.7
20120712	55.6	50.4
20120713	55.8	51.4
20120714	56.5	51.8
20120715	56.8	52.2
20120716	57.6	52.0
20120717	60.1	55.2
20120718	60.4	55.9
20120719	60.1	53.4
20120720	61.2	55.0
20120721	61.2	54.5
20120722	60.3	53.1
20120723	59.2	54.9
20120724	61.0	55.6
20120725	58.8	56.3
20120726	59.7	54.5
20120727	58.1	52.5
20120728	60.1	53.4
20120729	59.9	52.9
20120730	59.5	53.2
20120731	59.0	53.4
20120801	57.0	53.2
20120802	57.2	52.7
20120803	55.8	52.2
20120804	58.1	51.8
20120805	61.0	56.8
20120806	61.9	55.8
20120807	61.7	55.0
20120808	60.6	53.8
20120809	59.7	51.6
20120810	57.9	52.5
20120811	55.2	51.6
20120812	55.2	50.7
20120813	55.8	51.4
20120814	57.4	51.8
20120815	58.6	55.0
20120816	58.6	55.9
20120817	59.4	53.8
20120818	59.2	54.7
20120819	57.2	52.3
20120820	56.5	51.3
20120821	55.4	52.0
20120822	57.6	51.6
20120823	57.0	54.9
20120824	58.5	51.3
20120825	55.8	51.8
20120826	60.8	53.1
20120827	62.4	55.9
20120828	63.1	55.8
20120829	62.6	53.4
20120830	61.3	53.1
20120831	58.1	53.6
20120901	57.7	52.7
20120902	54.7	51.6
20120903	55.9	51.1
20120904	55.2	50.7
20120905	56.8	53.1
20120906	57.9	55.0
20120907	60.1	52.9
20120908	59.4	54.7
20120909	61.2	52.9
20120910	60.3	53.1
20120911	59.4	54.0
20120912	58.5	53.8
20120913	57.6	52.0
20120914	58.3	53.6
20120915	58.5	51.4
20120916	56.5	50.7
20120917	57.9	52.9
20120918	59.2	52.0
20120919	59.4	55.0
20120920	59.2	50.9
20120921	59.9	50.9
20120922	60.6	52.3
20120923	57.7	50.0
20120924	57.2	52.7
20120925	55.8	50.9
20120926	54.9	52.3
20120927	54.3	50.7
20120928	55.8	49.6
20120929	55.6	52.5
20120930	65.5	50.4
20121001	78.3	55.6
